AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,UserRating,Reviews,Churn,Review_Sentiment,Rating_Sentiment,Final_Sentiment_Score,Topic_Cluster
39,47.84822007985676,1867.785343641939,Standard,Debit Card,0,4,Great service!,1,1.0,1,1.0,Service & Support
52,80.62014375498786,4538.866413460026,Basic,Bank Transfer,1,1,"Good content, but too expensive.",0,0.0999999999999999,-1,-0.23,Service & Support
29,67.54252212768182,3872.7290312332266,Premium,Debit Card,1,2,"Good content, but too expensive.",1,0.0999999999999999,-1,-0.23,Service & Support
15,82.45402007674257,2827.5215838899144,Standard,Debit Card,1,4,Great service!,1,1.0,1,1.0,Service & Support
43,91.28359528089636,1352.6604892654343,Standard,Debit Card,1,1,Affordable and good selection.,1,0.7,-1,0.1899999999999999,Service & Support
8,65.55373408875627,1580.0964589904956,Standard,Debit Card,0,3,Love the variety of shows!,0,0.625,0,0.4375,Content Quality
21,98.241645258314,3686.594531169609,Standard,Credit Card,0,3,Best streaming service ever!,0,1.0,0,0.7,Content Quality
39,64.72790645876967,4270.753878178577,Standard,Debit Card,1,4,Very slow and bad experience.,1,-0.5449999999999999,1,-0.0814999999999999,Pricing & Value
58,67.29798894600543,3389.980880700011,Standard,Credit Card,1,3,Best streaming service ever!,0,1.0,0,0.7,Content Quality
19,59.93340476880031,4066.696881265365,Basic,Debit Card,1,5,Customer support is unresponsive.,0,0.0,1,0.3,Content Quality
23,18.19018819461973,3856.615062481989,Premium,PayPal,1,4,Streaming quality is poor.,1,-0.4,1,0.02,Service & Support
11,75.37573293852054,833.5494429890929,Premium,Bank Transfer,1,1,Price is too high for what you get.,0,0.16,-1,-0.188,Pricing & Value
11,59.27016762092004,2177.32958327518,Standard,Debit Card,1,4,Love the variety of shows!,1,0.625,1,0.7375,Content Quality
24,50.5819402674494,849.6206240599571,Premium,PayPal,1,2,Very slow and bad experience.,1,-0.5449999999999999,-1,-0.6815,Pricing & Value
53,91.94241505629458,1252.6543655297255,Premium,Debit Card,1,4,Customer support is unresponsive.,1,0.0,1,0.3,Content Quality
36,36.816350638775546,4359.372160790157,Premium,Debit Card,0,3,"Good content, but too expensive.",0,0.0999999999999999,0,0.0699999999999999,Service & Support
40,57.12420484135101,2417.1706316025925,Standard,Debit Card,0,3,Very slow and bad experience.,1,-0.5449999999999999,0,-0.3814999999999999,Pricing & Value
24,72.7877684344117,2723.2546990290384,Standard,PayPal,0,5,Great service!,1,1.0,1,1.0,Service & Support
3,81.68245981064895,974.3852296160834,Premium,Bank Transfer,1,5,Best streaming service ever!,0,1.0,1,1.0,Content Quality
22,51.34121271515552,1630.1317516391005,Premium,PayPal,1,5,Very slow and bad experience.,0,-0.5449999999999999,1,-0.0814999999999999,Pricing & Value
53,85.78822735168387,1228.2062252965627,Standard,Bank Transfer,1,1,Streaming quality is poor.,0,-0.4,-1,-0.58,Service & Support
2,79.20259671838578,1110.3122061402896,Basic,Debit Card,0,5,Frequent buffering issues.,0,0.1,1,0.37,Pricing & Value
24,15.961238006667926,3226.0078872482536,Premium,Credit Card,1,1,"Good content, but too expensive.",1,0.0999999999999999,-1,-0.23,Service & Support
44,14.127513976416964,1358.7308534640026,Basic,Debit Card,0,5,Price is too high for what you get.,0,0.16,1,0.412,Pricing & Value
30,65.87251159798822,3196.8758815000506,Premium,Bank Transfer,1,1,Price is too high for what you get.,0,0.16,-1,-0.188,Pricing & Value
38,41.26720674028728,386.42760913191415,Basic,PayPal,0,4,Very slow and bad experience.,0,-0.5449999999999999,1,-0.0814999999999999,Pricing & Value
2,28.82177119706628,794.6945282827991,Basic,Debit Card,0,4,Frequent buffering issues.,0,0.1,1,0.37,Pricing & Value
21,62.16849410245646,1445.2472446006143,Basic,PayPal,0,3,Best streaming service ever!,1,1.0,0,0.7,Content Quality
33,40.740688941089054,3025.5298927888894,Standard,PayPal,1,1,Customer support is unresponsive.,0,0.0,-1,-0.3,Content Quality
12,58.3537075042663,3411.622100928142,Basic,PayPal,0,2,Love the variety of shows!,1,0.625,-1,0.1375,Content Quality
58,51.41072430852148,2269.313137219682,Basic,Debit Card,1,3,Best streaming service ever!,0,1.0,0,0.7,Content Quality
22,62.62894953542383,2284.375481428422,Basic,PayPal,1,4,Customer support is unresponsive.,1,0.0,1,0.3,Content Quality
44,46.027044001925326,3650.132571853229,Premium,PayPal,1,1,Love the variety of shows!,1,0.625,-1,0.1375,Content Quality
25,72.79008163272385,177.52334965135395,Basic,Debit Card,1,5,Frequent buffering issues.,0,0.1,1,0.37,Pricing & Value
49,26.206054511436868,1771.3411199236807,Premium,PayPal,1,2,Love the variety of shows!,1,0.625,-1,0.1375,Content Quality
27,72.6851319604371,4111.66457988424,Basic,Debit Card,0,4,Best streaming service ever!,0,1.0,1,1.0,Content Quality
59,47.04950929217753,3055.775110045524,Basic,Bank Transfer,1,3,Streaming quality is poor.,1,-0.4,0,-0.2799999999999999,Service & Support
42,88.68858443689754,1752.41295050156,Standard,Bank Transfer,1,1,Very slow and bad experience.,1,-0.5449999999999999,-1,-0.6815,Pricing & Value
28,56.371244937778975,4537.071482415402,Premium,Bank Transfer,1,2,Customer support is unresponsive.,1,0.0,-1,-0.3,Content Quality
16,97.5799314343094,3885.8513645019743,Basic,PayPal,1,1,Streaming quality is poor.,0,-0.4,-1,-0.58,Service & Support
15,64.17418559868642,1397.9876914599938,Premium,Credit Card,1,5,Customer support is unresponsive.,1,0.0,1,0.3,Content Quality
47,30.146415931568853,3261.9202038760127,Premium,Credit Card,0,3,Very slow and bad experience.,0,-0.5449999999999999,0,-0.3814999999999999,Pricing & Value
51,83.96115731600042,3019.178568125888,Standard,PayPal,0,1,Affordable and good selection.,1,0.7,-1,0.1899999999999999,Service & Support
44,41.0574365040148,2065.820778791015,Standard,Credit Card,1,4,Love the variety of shows!,1,0.625,1,0.7375,Content Quality
55,41.28572930344152,1898.0847881035236,Standard,Debit Card,0,3,Frequent buffering issues.,1,0.1,0,0.0699999999999999,Pricing & Value
52,12.862421333664862,1783.4463264009494,Standard,Credit Card,0,4,Affordable and good selection.,1,0.7,1,0.7899999999999999,Service & Support
57,59.38437782866678,3124.0633386386694,Standard,PayPal,1,1,Affordable and good selection.,1,0.7,-1,0.1899999999999999,Service & Support
3,58.09811533592707,2267.8086887552804,Standard,PayPal,0,3,Price is too high for what you get.,1,0.16,0,0.1119999999999999,Pricing & Value
37,42.03923358447875,4176.129254931968,Standard,Debit Card,1,4,Great service!,0,1.0,1,1.0,Service & Support
51,90.47955366063331,3381.052819056413,Standard,Bank Transfer,0,5,Best streaming service ever!,0,1.0,1,1.0,Content Quality
7,21.587355846967952,442.6648679762272,Basic,PayPal,0,5,Streaming quality is poor.,0,-0.4,1,0.02,Service & Support
21,39.70895619791399,3236.8242967580136,Premium,Debit Card,0,1,Streaming quality is poor.,1,-0.4,-1,-0.58,Service & Support
9,38.94244882120261,1428.6224388509056,Standard,Credit Card,1,3,Streaming quality is poor.,0,-0.4,0,-0.2799999999999999,Service & Support
39,18.306152760587143,3004.778759101772,Standard,Credit Card,0,2,Streaming quality is poor.,1,-0.4,-1,-0.58,Service & Support
18,53.30308546506639,3432.646462406912,Premium,Debit Card,0,3,Best streaming service ever!,0,1.0,0,0.7,Content Quality
4,71.90062453864746,1231.0630268546593,Basic,Debit Card,1,5,Affordable and good selection.,0,0.7,1,0.7899999999999999,Service & Support
25,56.04913121925351,2338.6073599138062,Premium,PayPal,1,4,Best streaming service ever!,1,1.0,1,1.0,Content Quality
14,24.12799144445744,1032.5918278134322,Premium,Credit Card,0,2,Streaming quality is poor.,1,-0.4,-1,-0.58,Service & Support
50,43.95573687178653,356.46049135389075,Standard,Debit Card,1,1,Great service!,0,1.0,-1,0.3999999999999999,Service & Support
58,10.23355219452819,1954.5344750807585,Premium,Credit Card,0,2,"Good content, but too expensive.",0,0.0999999999999999,-1,-0.23,Service & Support
9,88.14709963320281,1878.426932045361,Premium,Debit Card,0,1,Very slow and bad experience.,0,-0.5449999999999999,-1,-0.6815,Pricing & Value
26,17.606530691261373,4977.85440445086,Standard,Credit Card,1,2,Streaming quality is poor.,0,-0.4,-1,-0.58,Service & Support
53,63.75502740298875,2287.1265208684467,Standard,Bank Transfer,1,1,Frequent buffering issues.,1,0.1,-1,-0.2299999999999999,Pricing & Value
2,98.76312962801336,1734.490792413782,Standard,PayPal,1,1,"Good content, but too expensive.",0,0.0999999999999999,-1,-0.23,Service & Support
